,0
0,II
1,II
8,II
14,I
16,I
23,II
24,I
25,II
26,III
27,I
29,II
32,III
33,I
34,II
37,II
38,I
39,II
43,I
46,I
49,"III,II"
51,III
52,III
54,II
55,III
56,II
59,II
62,II
65,II
66,II
75,III
76,I
77,III
82,"II,III"
88,I
91,II
93,III
95,"II,III"
96,I
97,I
98,II
99,I
101,III
102,I
103,III
104,III
105,III
109,I
110,II
111,II
114,II
117,I
118,II
120,II
122,III
123,I
126,II
129,III
131,II
135,I
137,II
138,II
141,III
143,III
145,II
150,III
152,II
157,I
158,II
159,II
163,II
164,II
165,II
168,II
171,III
173,II
174,III
178,I
180,II
181,II
182,III
185,II
186,II
187,III
192,II
195,II
196,I
200,II
204,II
219,III
224,II
229,II
230,II
231,III
232,II
233,II
235,I
236,I
237,II
238,II
239,II
241,II
246,I
251,I
253,II
254,II
258,II
259,II
262,I
263,II
264,II
265,III
269,III
270,III
274,II
276,I
278,III
279,III
280,II
282,II
284,I
285,II
286,II
290,II
297,I
300,III
304,III
305,II
307,III
312,III
314,III
315,I
316,I
318,II
321,III
323,III
324,II
325,III
328,III
329,II
330,I
331,III
332,II
334,II
335,II
342,I
345,I
346,I
349,I
352,II
353,I
354,II
355,II
356,II
361,II
362,II
364,II
366,III
367,III
370,II
375,I
376,II
377,II
378,I
381,I
383,II
390,II
391,III
392,II
393,III
395,III
396,II
397,II
400,III
408,I
409,III
410,II
412,II
413,II
415,I
417,II
419,I
425,II
433,III
434,II
439,II
443,II
444,I
448,III
449,I
455,I
457,II
458,I
459,II
462,II
465,I
470,II
479,II
480,II
483,III
485,II
487,I
490,I
492,I
494,II
496,I
498,III
499,II
502,III
503,I
506,II
512,III
516,II
518,II
519,II
520,I
521,I
523,I
525,II
527,II
528,I
529,I
532,II
533,I
541,II
542,III
544,I
546,II
548,I
551,II
555,II
559,III
560,I
561,II
562,I
563,II
564,II
565,II
566,I
572,II
576,II
579,II
580,II
581,II
582,I
583,I
587,III
588,I
590,II
591,III
593,I
595,II
597,III
600,"III,I"
603,III
605,II
607,III
608,II
611,III
614,III
617,I
624,II
627,III
630,III
631,II
633,II
635,II
640,I
641,III
646,III
647,II
648,III
649,III
650,III
651,II
652,III
656,III
657,II
658,II
659,III
660,I
661,I
662,II
668,III
674,II
676,I
680,II
681,I
682,II
683,I
684,II
688,III
689,II
691,II
692,II
695,III
696,II
703,I
704,I
707,I
710,II
711,III
712,I
715,II
716,II
718,III
719,III
720,I
721,III
723,III
727,II
728,"I,III"
732,III
735,II
737,III
738,I
740,II
743,III
745,II
747,"II,III"
749,I
750,III
753,I
754,I
755,II
756,"II,I"
759,II
760,III
762,III
763,I
765,II
771,III
773,II
774,I
778,II
783,II
784,II
785,II
786,II
789,II
790,II
793,II
794,I
795,III
798,II
801,II
802,III
803,II
804,I
805,II
807,III
811,I
814,I
818,II
821,II
822,I
825,I
826,I
827,II
828,III
829,II
833,I
834,II
837,II
841,III
847,II
848,II
850,III
851,I
855,II
858,III
866,III
868,II
869,II
876,I
877,II
878,I
880,II
881,III
882,II
884,III
885,I
886,"III,II"
887,I
889,II
890,II
893,I
894,II
895,II
898,II
901,I
906,II
907,II
908,II
909,II
915,II
916,I
918,III
919,II
926,I
927,II
931,II
932,I
937,III
938,II
939,III
940,I
942,I
946,III
948,II
949,III
950,III
951,III
952,II
953,II
955,I
957,I
958,II
962,II
964,III
965,III
967,III
968,I
970,III
972,II
973,I
974,II
975,III
977,"II,III"
978,II
981,II
982,III
984,II
986,II
987,II
988,II
989,I
992,III
993,II
994,I
995,II
997,III
998,II
1002,II
1003,III
1006,I
1008,II
1012,II
1013,I
1014,II
1019,III
1020,III
1023,III
1024,III
1025,II
1027,III
1030,II
1031,I
1033,I
1035,II
1036,I
1037,II
1038,III
1040,III
1041,I
1047,II
1048,"I,III"
1054,II
1056,I
1058,III
1060,II
1062,II
1067,III
1069,III
1073,III
1075,I
1076,I
1081,III
1083,III
