,NUMBER_OF_PEDESTRIANS_INJURED,NUMBER_OF_PEDESTRIANS_KILLED,NUMBER_OF_CYCLIST_INJURED,NUMBER_OF_CYCLIST_KILLED
55,0,0,1,0
59,0,0,1,0
62,0,0,1,0
136,0,0,1,0
225,0,0,1,0
230,0,0,1,0
365,0,0,0,1
432,0,0,1,0
531,0,0,1,0
610,0,0,1,0
716,0,0,1,0
733,0,0,1,0
788,0,0,1,0
806,0,0,1,0
1200,0,0,1,0
1262,0,0,1,0
1321,0,0,1,0
1347,0,0,1,0
1354,0,0,1,0
1442,0,0,1,0
1445,0,0,1,0
1518,0,0,1,0
1576,0,0,0,1
1679,0,0,1,0
1778,0,0,1,0
1784,0,0,1,0
1786,0,0,1,0
1962,0,0,1,0
1965,0,0,1,0
2000,0,0,1,0
2006,0,0,1,0
2021,0,0,1,0
2080,0,0,1,0
2254,0,0,1,0
2306,0,0,1,0
2350,0,0,1,0
2408,0,0,1,0
2412,0,0,1,0
2415,0,0,1,0
2464,0,0,1,0
2470,0,0,1,0
2525,0,0,1,0
2549,0,0,1,0
2679,0,0,1,0
2710,0,0,1,0
2717,0,0,1,0
2742,0,0,1,0
2820,0,0,1,0
2851,0,0,1,0
2913,0,0,1,0
2963,0,0,1,0
3018,0,0,1,0
3116,0,0,1,0
3125,0,0,1,0
3150,0,0,1,0
3218,0,0,1,0
3229,0,0,1,0
3371,0,0,1,0
3568,0,0,1,0
3610,0,0,1,0
3637,0,0,1,0
3802,0,0,1,0
4113,0,0,1,0
4212,0,0,1,0
4308,0,0,1,0
4330,0,0,1,0
4337,0,0,1,0
4424,0,0,1,0
4440,0,0,1,0
4449,0,0,1,0
4498,0,0,1,0
4610,0,0,1,0
4670,0,0,1,0
4713,0,0,1,0
4897,0,0,1,0
4903,0,0,1,0
4983,0,0,1,0
5138,0,0,1,0
5139,0,0,1,0
5181,0,0,1,0
5238,0,0,1,0
5511,0,0,1,0
5636,0,0,1,0
5675,0,0,1,0
5811,0,0,1,0
5858,0,0,1,0
5916,0,0,1,0
6166,0,0,1,0
6314,0,0,1,0
6319,0,0,1,0
6471,0,0,1,0
6519,0,0,1,0
6533,0,0,1,0
6562,0,0,1,0
6629,0,0,1,0
6707,0,0,1,0
6732,0,0,1,0
6833,0,0,1,0
6838,0,0,1,0
6866,0,0,1,0
6885,0,0,1,0
7019,0,0,1,0
7101,0,0,1,0
7104,0,0,1,0
7193,0,0,1,0
7206,0,0,1,0
7220,0,0,1,0
7222,0,0,1,0
7445,0,0,1,0
7514,0,0,1,0
7539,0,0,1,0
7560,0,0,1,0
